dataset,task,model,metric,mean,std,mean_std
MDVR-KCL,ReadText,LogisticRegression,accuracy,0.6214285714285714,0.05841224012070046,0.621 ± 0.058
MDVR-KCL,ReadText,LogisticRegression,f1,0.5419047619047619,0.09899723993495588,0.542 ± 0.099
MDVR-KCL,ReadText,LogisticRegression,precision,0.62,0.216794833886788,0.620 ± 0.217
MDVR-KCL,ReadText,LogisticRegression,recall,0.55,0.2006932429798716,0.550 ± 0.201
MDVR-KCL,ReadText,LogisticRegression,roc_auc,0.7166666666666666,0.13944333775567927,0.717 ± 0.139
MDVR-KCL,ReadText,RandomForest,accuracy,0.6285714285714286,0.17830337023380885,0.629 ± 0.178
MDVR-KCL,ReadText,RandomForest,f1,0.3514285714285714,0.36303707574757005,0.351 ± 0.363
MDVR-KCL,ReadText,RandomForest,precision,0.45,0.4472135954999579,0.450 ± 0.447
MDVR-KCL,ReadText,RandomForest,recall,0.3333333333333333,0.408248290463863,0.333 ± 0.408
MDVR-KCL,ReadText,RandomForest,roc_auc,0.59,0.3019841791293783,0.590 ± 0.302
MDVR-KCL,ReadText,SVM_RBF,accuracy,0.6214285714285714,0.10594569267279522,0.621 ± 0.106
MDVR-KCL,ReadText,SVM_RBF,f1,0.3333333333333333,0.3333333333333333,0.333 ± 0.333
MDVR-KCL,ReadText,SVM_RBF,precision,0.36666666666666664,0.3415650255319866,0.367 ± 0.342
MDVR-KCL,ReadText,SVM_RBF,recall,0.31666666666666665,0.33541019662496846,0.317 ± 0.335
MDVR-KCL,ReadText,SVM_RBF,roc_auc,0.6141666666666666,0.3119105551988333,0.614 ± 0.312
MDVR-KCL,SpontaneousDialogue,LogisticRegression,accuracy,0.6392857142857142,0.1599186655517008,0.639 ± 0.160
MDVR-KCL,SpontaneousDialogue,LogisticRegression,f1,0.539047619047619,0.3212503915312118,0.539 ± 0.321
MDVR-KCL,SpontaneousDialogue,LogisticRegression,precision,0.46904761904761905,0.29180026094959105,0.469 ± 0.292
MDVR-KCL,SpontaneousDialogue,LogisticRegression,recall,0.6666666666666666,0.40824829046386296,0.667 ± 0.408
MDVR-KCL,SpontaneousDialogue,LogisticRegression,roc_auc,0.76,0.2136326025888579,0.760 ± 0.214
MDVR-KCL,SpontaneousDialogue,RandomForest,accuracy,0.7214285714285714,0.17569105537498347,0.721 ± 0.176
MDVR-KCL,SpontaneousDialogue,RandomForest,f1,0.5666666666666667,0.3651483716701107,0.567 ± 0.365
MDVR-KCL,SpontaneousDialogue,RandomForest,precision,0.6333333333333333,0.4149966532662911,0.633 ± 0.415
MDVR-KCL,SpontaneousDialogue,RandomForest,recall,0.6,0.4346134936801766,0.600 ± 0.435
MDVR-KCL,SpontaneousDialogue,RandomForest,roc_auc,0.8283333333333334,0.14832396974191325,0.828 ± 0.148
MDVR-KCL,SpontaneousDialogue,SVM_RBF,accuracy,0.6357142857142858,0.13458174058154837,0.636 ± 0.135
MDVR-KCL,SpontaneousDialogue,SVM_RBF,f1,0.4,0.25276251480171835,0.400 ± 0.253
MDVR-KCL,SpontaneousDialogue,SVM_RBF,precision,0.6,0.4346134936801766,0.600 ± 0.435
MDVR-KCL,SpontaneousDialogue,SVM_RBF,recall,0.3333333333333333,0.23570226039551584,0.333 ± 0.236
MDVR-KCL,SpontaneousDialogue,SVM_RBF,roc_auc,0.4066666666666666,0.30925537810826975,0.407 ± 0.309
PD_SPEECH_FEATURES,N/A,LogisticRegression,accuracy,0.8280585569884977,0.007616113378025855,0.828 ± 0.008
PD_SPEECH_FEATURES,N/A,LogisticRegression,f1,0.885321804573126,0.006040413283620771,0.885 ± 0.006
PD_SPEECH_FEATURES,N/A,LogisticRegression,precision,0.8809115801904154,0.010201787474813106,0.881 ± 0.010
PD_SPEECH_FEATURES,N/A,LogisticRegression,recall,0.8900442477876107,0.01632527505696748,0.890 ± 0.016
PD_SPEECH_FEATURES,N/A,LogisticRegression,roc_auc,0.8672701580363433,0.028687610503601677,0.867 ± 0.029
PD_SPEECH_FEATURES,N/A,RandomForest,accuracy,0.8822760543743465,0.018953548210712497,0.882 ± 0.019
PD_SPEECH_FEATURES,N/A,RandomForest,f1,0.9254833425036095,0.012373233566357496,0.925 ± 0.012
PD_SPEECH_FEATURES,N/A,RandomForest,precision,0.8763869443738888,0.012037975081833761,0.876 ± 0.012
PD_SPEECH_FEATURES,N/A,RandomForest,recall,0.9804519595448798,0.014709707246205496,0.980 ± 0.015
PD_SPEECH_FEATURES,N/A,RandomForest,roc_auc,0.939514609362071,0.012573988736558711,0.940 ± 0.013
PD_SPEECH_FEATURES,N/A,SVM_RBF,accuracy,0.8505402579295922,0.023595553293962714,0.851 ± 0.024
PD_SPEECH_FEATURES,N/A,SVM_RBF,f1,0.9077073508424787,0.015069323201362277,0.908 ± 0.015
PD_SPEECH_FEATURES,N/A,SVM_RBF,precision,0.8411725895936423,0.0147828368225515,0.841 ± 0.015
PD_SPEECH_FEATURES,N/A,SVM_RBF,recall,0.9857616940581542,0.01851290938167504,0.986 ± 0.019
PD_SPEECH_FEATURES,N/A,SVM_RBF,roc_auc,0.885309640677596,0.025369631701456844,0.885 ± 0.025
