model,method,rank,feature,mean,std
LogisticRegression,native,1.0,tqwt_kurtosisValue_dec_33,0.7328926431530205,0.16111524675951294
LogisticRegression,native,2.0,tqwt_entropy_log_dec_33,0.6938269651375313,0.08423019603238138
LogisticRegression,native,3.0,mean_MFCC_7th_coef,0.6136474155641443,0.1476335608676076
LogisticRegression,native,4.0,std_delta_delta_log_energy,0.5878409271147682,0.13272745918561732
LogisticRegression,native,5.0,std_MFCC_2nd_coef,0.5668325607676558,0.20162335833047346
LogisticRegression,native,6.0,tqwt_meanValue_dec_16,0.5508902817106484,0.11437658418734585
LogisticRegression,native,7.0,tqwt_medianValue_dec_25,0.5400223326992999,0.20895800485872365
LogisticRegression,native,8.0,mean_MFCC_3rd_coef,0.5384476461699811,0.15476470124448732
LogisticRegression,native,9.0,tqwt_meanValue_dec_22,0.5275220290328122,0.17159040351478916
LogisticRegression,native,10.0,std_9th_delta,0.5263516564462117,0.10311017887173093
RandomForest,native,1.0,std_delta_log_energy,0.013337458992321518,0.0037012115329573096
RandomForest,native,2.0,std_delta_delta_log_energy,0.013232538760571854,0.0030176137301884216
RandomForest,native,3.0,tqwt_entropy_shannon_dec_12,0.011702631258132387,0.001007262868902997
RandomForest,native,4.0,tqwt_TKEO_std_dec_11,0.009830164816534192,0.00394736265580164
RandomForest,native,5.0,tqwt_TKEO_mean_dec_12,0.009648852945411322,0.0012049465377633724
RandomForest,native,6.0,mean_MFCC_2nd_coef,0.00841034729402181,0.0030815275495530954
RandomForest,native,7.0,tqwt_entropy_log_dec_11,0.008189929809312638,0.0029611037226204115
RandomForest,native,8.0,tqwt_stdValue_dec_12,0.007712483211271699,0.0025115471453278494
RandomForest,native,9.0,tqwt_stdValue_dec_13,0.007634853203939961,0.0034885026684814296
RandomForest,native,10.0,tqwt_energy_dec_12,0.006932044537465644,0.0027318560446686155
