model,method,rank,feature,mean,std
LogisticRegression,native,1.0,f0_max,0.7535657238648109,0.20272991320330977
LogisticRegression,native,2.0,hnr_mean,0.6490877147768427,0.17803817665171306
LogisticRegression,native,3.0,shimmer_apq11,0.5532341508633244,0.1452537195621053
LogisticRegression,native,4.0,delta_mfcc_4_mean,0.4959325443418197,0.16323236322857998
LogisticRegression,native,5.0,delta_mfcc_2_mean,0.49234748791667027,0.10333019629462036
LogisticRegression,native,6.0,delta_mfcc_1_mean,0.47357981209197025,0.27332163097013235
LogisticRegression,native,7.0,mfcc_5_mean,0.47016313903194507,0.12656735571848968
LogisticRegression,native,8.0,mfcc_4_mean,0.4261283029270051,0.2331580327042672
LogisticRegression,native,9.0,mfcc_10_mean,0.4184392323015369,0.22075109140497634
LogisticRegression,native,10.0,mfcc_11_mean,0.3880319788404794,0.1924671949207323
RandomForest,native,1.0,f0_max,0.05156103182448911,0.019237351816836928
RandomForest,native,2.0,delta_mfcc_2_mean,0.0386716610850387,0.017799313142735675
RandomForest,native,3.0,f3_std,0.03781894193155858,0.011388025735328572
RandomForest,native,4.0,autocorr_harmonicity,0.03766597752136462,0.01672501633340619
RandomForest,native,5.0,intensity_mean,0.03549953007586905,0.021181534201878145
RandomForest,native,6.0,f0_mean,0.03229335087428605,0.012233769011467393
RandomForest,native,7.0,shimmer_apq3,0.031518945019032386,0.013284763149085105
RandomForest,native,8.0,mfcc_12_mean,0.03089458259862894,0.007195081728252115
RandomForest,native,9.0,f1_std,0.03084212863360734,0.021667833658421228
RandomForest,native,10.0,mfcc_6_mean,0.02996640568893183,0.023793443701780485
