model,method,rank,feature,mean,std
LogisticRegression,native,1.0,mfcc_5_mean,0.7219605189165571,0.03887483004028903
LogisticRegression,native,2.0,delta_mfcc_8_mean,0.6145765095902191,0.1214009058557734
LogisticRegression,native,3.0,shimmer_apq11,0.5593677978073968,0.1356058472078971
LogisticRegression,native,4.0,delta_mfcc_2_mean,0.4934769821718274,0.19550597404211903
LogisticRegression,native,5.0,intensity_min,0.458709636687926,0.1701942083027016
LogisticRegression,native,6.0,mfcc_3_mean,0.387565604300102,0.2714467671865858
LogisticRegression,native,7.0,delta_mfcc_11_mean,0.38130962906204513,0.10244035834155875
LogisticRegression,native,8.0,delta_mfcc_7_mean,0.3804743723798621,0.15019631024177352
LogisticRegression,native,9.0,hnr_mean,0.3785609081265766,0.17515475530735106
LogisticRegression,native,10.0,delta_mfcc_1_mean,0.3521085003593993,0.12259228090086456
RandomForest,native,1.0,mfcc_5_mean,0.0804596075285698,0.022464908583836582
RandomForest,native,2.0,shimmer_apq11,0.0693429679650873,0.006825031240696151
RandomForest,native,3.0,delta_mfcc_8_mean,0.050887722285660575,0.014815482579562202
RandomForest,native,4.0,jitter_local,0.041260578599383216,0.012473239315343457
RandomForest,native,5.0,delta_mfcc_2_mean,0.03953738587621185,0.017708148289051928
RandomForest,native,6.0,autocorr_harmonicity,0.03671791675061633,0.011395712502547506
RandomForest,native,7.0,shimmer_local,0.0358967039209542,0.017422418586364147
RandomForest,native,8.0,mfcc_1_mean,0.03433912337402101,0.009886747932498628
RandomForest,native,9.0,f0_std,0.03195520656636756,0.022254234400676014
RandomForest,native,10.0,f0_mean,0.03117481492234516,0.012667446407151676
