model,method,rank,feature,mean,std
GradientBoosting,native,1.0,std_delta_delta_log_energy,0.13269881474599088,0.03544177233971921
GradientBoosting,native,2.0,tqwt_TKEO_mean_dec_12,0.030428776404495213,0.03584409604983672
GradientBoosting,native,3.0,tqwt_entropy_log_dec_27,0.02937974799105523,0.0076191122239214855
GradientBoosting,native,4.0,std_7th_delta_delta,0.02812141267324287,0.005333105939420949
GradientBoosting,native,5.0,tqwt_energy_dec_27,0.024041749985733645,0.027956986246648684
GradientBoosting,native,6.0,tqwt_entropy_log_dec_35,0.023144118054213087,0.019163075825255775
GradientBoosting,native,7.0,tqwt_TKEO_std_dec_12,0.02250048290994824,0.026129771921931975
GradientBoosting,native,8.0,mean_MFCC_2nd_coef,0.020854780429255402,0.023535334016988013
GradientBoosting,native,9.0,tqwt_entropy_log_dec_33,0.020674473676766787,0.005846902859620294
GradientBoosting,native,10.0,tqwt_TKEO_std_dec_11,0.02033723957654367,0.020703459902772017
GradientBoosting,native,11.0,std_9th_delta_delta,0.017358648890533852,0.01834232555189547
GradientBoosting,native,12.0,tqwt_energy_dec_18,0.01618596082683665,0.010043854927771876
GradientBoosting,native,13.0,tqwt_energy_dec_6,0.014186799525685845,0.013200567435980142
GradientBoosting,native,14.0,mean_MFCC_6th_coef,0.012267952708352878,0.005803162012453562
GradientBoosting,native,15.0,tqwt_TKEO_std_dec_19,0.011571979264673054,0.0068295760242749375
GradientBoosting,native,16.0,std_6th_delta,0.011074146074134922,0.010055116210748878
GradientBoosting,native,17.0,std_6th_delta_delta,0.009837174395134589,0.004711746048923392
GradientBoosting,native,18.0,tqwt_energy_dec_21,0.00858328197857269,0.007545315780550343
GradientBoosting,native,19.0,tqwt_entropy_log_dec_12,0.008503176058353181,0.012052654164883774
GradientBoosting,native,20.0,std_10th_delta_delta,0.007737607536769278,0.003270450316290606
LogisticRegression,native,1.0,tqwt_kurtosisValue_dec_33,0.7328926431530205,0.16111524675951294
LogisticRegression,native,2.0,tqwt_entropy_log_dec_33,0.6938269651375313,0.08423019603238138
LogisticRegression,native,3.0,mean_MFCC_7th_coef,0.6136474155641443,0.1476335608676076
LogisticRegression,native,4.0,std_delta_delta_log_energy,0.5878409271147682,0.13272745918561732
LogisticRegression,native,5.0,std_MFCC_2nd_coef,0.5668325607676558,0.20162335833047346
LogisticRegression,native,6.0,tqwt_meanValue_dec_16,0.5508902817106484,0.11437658418734585
LogisticRegression,native,7.0,tqwt_medianValue_dec_25,0.5400223326992999,0.20895800485872365
LogisticRegression,native,8.0,mean_MFCC_3rd_coef,0.5384476461699811,0.15476470124448732
LogisticRegression,native,9.0,tqwt_meanValue_dec_22,0.5275220290328122,0.17159040351478916
LogisticRegression,native,10.0,std_9th_delta,0.5263516564462117,0.10311017887173093
LogisticRegression,native,11.0,tqwt_kurtosisValue_dec_31,0.5250452822609567,0.06981857085616419
LogisticRegression,native,12.0,std_9th_delta_delta,0.5170324240754627,0.15746106109015381
LogisticRegression,native,13.0,tqwt_energy_dec_25,0.5124503509644655,0.08380153343374683
LogisticRegression,native,14.0,mean_2nd_delta,0.5054929809952909,0.1543834127649999
LogisticRegression,native,15.0,tqwt_entropy_log_dec_11,0.4902511774852766,0.07991880300578173
LogisticRegression,native,16.0,tqwt_entropy_shannon_dec_25,0.48534678475443105,0.12582327762252574
LogisticRegression,native,17.0,tqwt_medianValue_dec_36,0.47505870862291816,0.14011172609069203
LogisticRegression,native,18.0,b4,0.46981517191283684,0.08308416699276555
LogisticRegression,native,19.0,tqwt_entropy_shannon_dec_27,0.46909911432809465,0.06938733748119674
LogisticRegression,native,20.0,tqwt_medianValue_dec_10,0.46748281135176367,0.13928596399107127
RandomForest,native,1.0,std_delta_log_energy,0.013337458992321518,0.0037012115329573096
RandomForest,native,2.0,std_delta_delta_log_energy,0.013232538760571854,0.0030176137301884216
RandomForest,native,3.0,tqwt_entropy_shannon_dec_12,0.011702631258132387,0.001007262868902997
RandomForest,native,4.0,tqwt_TKEO_std_dec_11,0.009830164816534192,0.00394736265580164
RandomForest,native,5.0,tqwt_TKEO_mean_dec_12,0.009648852945411322,0.0012049465377633724
RandomForest,native,6.0,mean_MFCC_2nd_coef,0.00841034729402181,0.0030815275495530954
RandomForest,native,7.0,tqwt_entropy_log_dec_11,0.008189929809312638,0.0029611037226204115
RandomForest,native,8.0,tqwt_stdValue_dec_12,0.007712483211271699,0.0025115471453278494
RandomForest,native,9.0,tqwt_stdValue_dec_13,0.007634853203939961,0.0034885026684814296
RandomForest,native,10.0,tqwt_energy_dec_12,0.006932044537465644,0.0027318560446686155
RandomForest,native,11.0,tqwt_energy_dec_27,0.00680087589337551,0.0014240512653936118
RandomForest,native,12.0,tqwt_entropy_log_dec_12,0.006436065793226654,0.0018705992681740257
RandomForest,native,13.0,tqwt_maxValue_dec_13,0.005874498229805933,0.0019202278526429895
RandomForest,native,14.0,tqwt_TKEO_std_dec_13,0.005774299486163856,0.0017845322820167944
RandomForest,native,15.0,tqwt_energy_dec_26,0.005725530682876556,0.0017958965978823512
RandomForest,native,16.0,tqwt_entropy_log_dec_35,0.005703035706116364,0.002245846210147326
RandomForest,native,17.0,std_6th_delta,0.005635975862317293,0.0019996249376761275
RandomForest,native,18.0,std_7th_delta_delta,0.005562035980619268,0.0017227105575723844
RandomForest,native,19.0,std_6th_delta_delta,0.0053338385268025664,0.0014194229151587357
RandomForest,native,20.0,tqwt_maxValue_dec_12,0.005292467895968303,0.002775907222203724
XGBoost,native,1.0,tqwt_entropy_log_dec_12,0.023930263239890337,0.020406173535955956
XGBoost,native,2.0,std_delta_delta_log_energy,0.016805019602179526,0.005641759845658235
XGBoost,native,3.0,tqwt_TKEO_mean_dec_12,0.015500590205192566,0.016513261058049147
XGBoost,native,4.0,tqwt_TKEO_std_dec_12,0.0133317620086018,0.014121226624382166
XGBoost,native,5.0,tqwt_energy_dec_27,0.011924707889556884,0.024286600907108206
XGBoost,native,6.0,tqwt_TKEO_std_dec_11,0.011560418910812586,0.010235169665592736
XGBoost,native,7.0,tqwt_entropy_log_dec_16,0.009683720208704472,0.008907607090136343
XGBoost,native,8.0,tqwt_entropy_log_dec_13,0.008741050733078737,0.012042811155808983
XGBoost,native,9.0,mean_MFCC_2nd_coef,0.007979173399507999,0.0038780482822592835
XGBoost,native,10.0,tqwt_entropy_shannon_dec_16,0.007948384433984757,0.011075124209948533
XGBoost,native,11.0,std_9th_delta_delta,0.007583790132775903,0.003135045312792816
XGBoost,native,12.0,std_6th_delta,0.00734637463465333,0.006700840590303519
XGBoost,native,13.0,numPulses,0.0071207437664270404,0.004634244523768474
XGBoost,native,14.0,tqwt_TKEO_std_dec_19,0.006988624017685652,0.0037577565793016697
XGBoost,native,15.0,tqwt_entropy_log_dec_27,0.006733577791601419,0.0020779642032912513
XGBoost,native,16.0,tqwt_entropy_log_dec_17,0.0067287733312696215,0.005490630678117746
XGBoost,native,17.0,tqwt_entropy_log_dec_32,0.006494998559355735,0.0030738186607301883
XGBoost,native,18.0,tqwt_minValue_dec_11,0.006280674191657454,0.004576022030866781
XGBoost,native,19.0,tqwt_energy_dec_9,0.006164832226932049,0.006413261851017035
XGBoost,native,20.0,std_7th_delta_delta,0.005896224686875939,0.002320074830308134
