model,method,rank,feature,mean,std
GradientBoosting,native,1.0,mfcc_5_mean,0.342303655060589,0.20443229423166165
GradientBoosting,native,2.0,shimmer_apq11,0.13442849849538857,0.13236550755249935
GradientBoosting,native,3.0,delta_mfcc_8_mean,0.08590624348538652,0.19189450215426207
GradientBoosting,native,4.0,intensity_min,0.05032387068093963,0.09305465806844472
GradientBoosting,native,5.0,shimmer_local,0.049581519665688384,0.0892040561970923
GradientBoosting,native,6.0,f1_std,0.04008167277732757,0.03246052896491276
GradientBoosting,native,7.0,mfcc_11_mean,0.03976415741121623,0.08891535903948154
GradientBoosting,native,8.0,mfcc_10_mean,0.026690678711552684,0.01968882621453214
GradientBoosting,native,9.0,mfcc_1_mean,0.024116251438780472,0.025738897298976684
GradientBoosting,native,10.0,intensity_max,0.02356973915569425,0.03647252239599997
GradientBoosting,native,11.0,delta_mfcc_7_mean,0.01584000322922843,0.019495902263593042
GradientBoosting,native,12.0,mfcc_3_mean,0.012906243033449566,0.01137612105238176
GradientBoosting,native,13.0,mfcc_2_mean,0.012828939790881969,0.023235562098379015
GradientBoosting,native,14.0,mfcc_12_mean,0.012369591763055595,0.013330541425112082
GradientBoosting,native,15.0,delta_mfcc_0_mean,0.01154284464404093,0.01563476732222838
GradientBoosting,native,16.0,delta_mfcc_5_mean,0.0106610078446582,0.02017835700147142
GradientBoosting,native,17.0,autocorr_harmonicity,0.01027902212245502,0.011852144372161234
GradientBoosting,native,18.0,mfcc_8_mean,0.010257589422503374,0.010060400911277897
GradientBoosting,native,19.0,f0_std,0.01022417830191808,0.0141789194949518
GradientBoosting,native,20.0,intensity_mean,0.009193298458014343,0.015657096853804762
GradientBoosting,permutation,1.0,shimmer_apq11,0.06785714285714287,0.0827616444732605
GradientBoosting,permutation,2.0,mfcc_5_mean,0.06035714285714287,0.08421683020510756
GradientBoosting,permutation,3.0,mfcc_8_mean,0.028571428571428574,0.063887656499994
GradientBoosting,permutation,4.0,mfcc_12_mean,0.022857142857142864,0.03288818409491812
GradientBoosting,permutation,5.0,delta_mfcc_8_mean,0.01714285714285714,0.03833259389999639
GradientBoosting,permutation,6.0,f0_std,0.01428571428571429,0.03194382824999701
GradientBoosting,permutation,6.0,intensity_mean,0.01428571428571429,0.03194382824999701
GradientBoosting,permutation,8.0,mfcc_2_mean,0.011428571428571436,0.02555506259999761
GradientBoosting,permutation,9.0,f1_std,0.008214285714285716,0.01260162768884097
GradientBoosting,permutation,10.0,mfcc_1_mean,0.005357142857142858,0.007362688617174396
GradientBoosting,permutation,11.0,mfcc_10_mean,0.002857142857142858,0.006388765649999402
GradientBoosting,permutation,12.0,mfcc_11_mean,8.881784197001253e-18,1.9860273225978187e-17
GradientBoosting,permutation,13.0,autocorr_harmonicity,0.0,0.0
GradientBoosting,permutation,13.0,delta_mfcc_0_mean,0.0,0.0
GradientBoosting,permutation,13.0,delta_mfcc_10_mean,0.0,0.0
