model,fold,metric,value,dataset,task
LogisticRegression,1,accuracy,0.5,MDVR-KCL,ReadText
LogisticRegression,1,precision,0.4,MDVR-KCL,ReadText
LogisticRegression,1,recall,0.6666666666666666,MDVR-KCL,ReadText
LogisticRegression,1,f1,0.5,MDVR-KCL,ReadText
LogisticRegression,1,roc_auc,0.6666666666666666,MDVR-KCL,ReadText
LogisticRegression,2,accuracy,0.5714285714285714,MDVR-KCL,ReadText
LogisticRegression,2,precision,0.5,MDVR-KCL,ReadText
LogisticRegression,2,recall,0.6666666666666666,MDVR-KCL,ReadText
LogisticRegression,2,f1,0.5714285714285714,MDVR-KCL,ReadText
LogisticRegression,2,roc_auc,0.8333333333333333,MDVR-KCL,ReadText
LogisticRegression,3,accuracy,0.5714285714285714,MDVR-KCL,ReadText
LogisticRegression,3,precision,0.5,MDVR-KCL,ReadText
LogisticRegression,3,recall,0.3333333333333333,MDVR-KCL,ReadText
LogisticRegression,3,f1,0.4,MDVR-KCL,ReadText
LogisticRegression,3,roc_auc,0.8333333333333334,MDVR-KCL,ReadText
LogisticRegression,4,accuracy,0.7142857142857143,MDVR-KCL,ReadText
LogisticRegression,4,precision,1.0,MDVR-KCL,ReadText
LogisticRegression,4,recall,0.3333333333333333,MDVR-KCL,ReadText
LogisticRegression,4,f1,0.5,MDVR-KCL,ReadText
LogisticRegression,4,roc_auc,0.5,MDVR-KCL,ReadText
LogisticRegression,5,accuracy,0.625,MDVR-KCL,ReadText
LogisticRegression,5,precision,0.6,MDVR-KCL,ReadText
LogisticRegression,5,recall,0.75,MDVR-KCL,ReadText
LogisticRegression,5,f1,0.6666666666666666,MDVR-KCL,ReadText
LogisticRegression,5,roc_auc,0.75,MDVR-KCL,ReadText
SVM_RBF,1,accuracy,0.75,MDVR-KCL,ReadText
SVM_RBF,1,precision,0.6666666666666666,MDVR-KCL,ReadText
SVM_RBF,1,recall,0.6666666666666666,MDVR-KCL,ReadText
SVM_RBF,1,f1,0.6666666666666666,MDVR-KCL,ReadText
SVM_RBF,1,roc_auc,0.2333333333333333,MDVR-KCL,ReadText
SVM_RBF,2,accuracy,0.8571428571428571,MDVR-KCL,ReadText
SVM_RBF,2,precision,0.75,MDVR-KCL,ReadText
SVM_RBF,2,recall,1.0,MDVR-KCL,ReadText
SVM_RBF,2,f1,0.8571428571428571,MDVR-KCL,ReadText
SVM_RBF,2,roc_auc,0.9166666666666666,MDVR-KCL,ReadText
SVM_RBF,3,accuracy,0.7142857142857143,MDVR-KCL,ReadText
SVM_RBF,3,precision,1.0,MDVR-KCL,ReadText
SVM_RBF,3,recall,0.3333333333333333,MDVR-KCL,ReadText
SVM_RBF,3,f1,0.5,MDVR-KCL,ReadText
SVM_RBF,3,roc_auc,0.8333333333333334,MDVR-KCL,ReadText
SVM_RBF,4,accuracy,0.5714285714285714,MDVR-KCL,ReadText
SVM_RBF,4,precision,0.0,MDVR-KCL,ReadText
SVM_RBF,4,recall,0.0,MDVR-KCL,ReadText
SVM_RBF,4,f1,0.0,MDVR-KCL,ReadText
SVM_RBF,4,roc_auc,0.41666666666666663,MDVR-KCL,ReadText
SVM_RBF,5,accuracy,0.625,MDVR-KCL,ReadText
SVM_RBF,5,precision,0.6666666666666666,MDVR-KCL,ReadText
SVM_RBF,5,recall,0.5,MDVR-KCL,ReadText
SVM_RBF,5,f1,0.5714285714285714,MDVR-KCL,ReadText
SVM_RBF,5,roc_auc,0.3125,MDVR-KCL,ReadText
RandomForest,1,accuracy,0.75,MDVR-KCL,ReadText
RandomForest,1,precision,1.0,MDVR-KCL,ReadText
RandomForest,1,recall,0.3333333333333333,MDVR-KCL,ReadText
RandomForest,1,f1,0.5,MDVR-KCL,ReadText
RandomForest,1,roc_auc,0.9333333333333333,MDVR-KCL,ReadText
RandomForest,2,accuracy,0.8571428571428571,MDVR-KCL,ReadText
RandomForest,2,precision,0.75,MDVR-KCL,ReadText
RandomForest,2,recall,1.0,MDVR-KCL,ReadText
RandomForest,2,f1,0.8571428571428571,MDVR-KCL,ReadText
RandomForest,2,roc_auc,0.9166666666666666,MDVR-KCL,ReadText
RandomForest,3,accuracy,0.5714285714285714,MDVR-KCL,ReadText
RandomForest,3,precision,0.5,MDVR-KCL,ReadText
RandomForest,3,recall,0.3333333333333333,MDVR-KCL,ReadText
RandomForest,3,f1,0.4,MDVR-KCL,ReadText
RandomForest,3,roc_auc,0.75,MDVR-KCL,ReadText
RandomForest,4,accuracy,0.5714285714285714,MDVR-KCL,ReadText
RandomForest,4,precision,0.5,MDVR-KCL,ReadText
RandomForest,4,recall,0.3333333333333333,MDVR-KCL,ReadText
RandomForest,4,f1,0.4,MDVR-KCL,ReadText
RandomForest,4,roc_auc,0.4583333333333333,MDVR-KCL,ReadText
RandomForest,5,accuracy,0.5,MDVR-KCL,ReadText
RandomForest,5,precision,0.0,MDVR-KCL,ReadText
RandomForest,5,recall,0.0,MDVR-KCL,ReadText
RandomForest,5,f1,0.0,MDVR-KCL,ReadText
RandomForest,5,roc_auc,0.375,MDVR-KCL,ReadText
LogisticRegression,1,accuracy,0.42857142857142855,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,precision,0.42857142857142855,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,recall,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,f1,0.6,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,roc_auc,0.75,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,accuracy,0.8571428571428571,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,precision,0.75,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,recall,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,f1,0.8571428571428571,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,roc_auc,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,3,accuracy,0.7142857142857143,MDVR-KCL,SpontaneousDialogue
