dataset,task,model,metric,mean,std,mean_std
MDVR-KCL,ReadText,LogisticRegression,accuracy,0.5964285714285714,0.07945926950459643,0.596 ± 0.079
MDVR-KCL,ReadText,LogisticRegression,f1,0.5276190476190477,0.0988252999453938,0.528 ± 0.099
MDVR-KCL,ReadText,LogisticRegression,precision,0.6,0.2345207879911715,0.600 ± 0.235
MDVR-KCL,ReadText,LogisticRegression,recall,0.55,0.2006932429798716,0.550 ± 0.201
MDVR-KCL,ReadText,LogisticRegression,roc_auc,0.7166666666666666,0.13944333775567927,0.717 ± 0.139
MDVR-KCL,ReadText,RandomForest,accuracy,0.65,0.14811743823805518,0.650 ± 0.148
MDVR-KCL,ReadText,RandomForest,f1,0.4314285714285714,0.3057943820308553,0.431 ± 0.306
MDVR-KCL,ReadText,RandomForest,precision,0.55,0.37080992435478316,0.550 ± 0.371
MDVR-KCL,ReadText,RandomForest,recall,0.4,0.36514837167011077,0.400 ± 0.365
MDVR-KCL,ReadText,RandomForest,roc_auc,0.6866666666666666,0.2583736527675461,0.687 ± 0.258
MDVR-KCL,ReadText,SVM_RBF,accuracy,0.7035714285714285,0.11123151073141027,0.704 ± 0.111
MDVR-KCL,ReadText,SVM_RBF,f1,0.519047619047619,0.31961569894380637,0.519 ± 0.320
MDVR-KCL,ReadText,SVM_RBF,precision,0.6166666666666666,0.37080992435478316,0.617 ± 0.371
MDVR-KCL,ReadText,SVM_RBF,recall,0.5,0.37267799624996495,0.500 ± 0.373
MDVR-KCL,ReadText,SVM_RBF,roc_auc,0.5425,0.3118103501239887,0.542 ± 0.312
MDVR-KCL,SpontaneousDialogue,LogisticRegression,accuracy,0.6392857142857142,0.1599186655517008,0.639 ± 0.160
MDVR-KCL,SpontaneousDialogue,LogisticRegression,f1,0.539047619047619,0.3212503915312118,0.539 ± 0.321
MDVR-KCL,SpontaneousDialogue,LogisticRegression,precision,0.46904761904761905,0.29180026094959105,0.469 ± 0.292
MDVR-KCL,SpontaneousDialogue,LogisticRegression,recall,0.6666666666666666,0.40824829046386296,0.667 ± 0.408
MDVR-KCL,SpontaneousDialogue,LogisticRegression,roc_auc,0.76,0.2136326025888579,0.760 ± 0.214
MDVR-KCL,SpontaneousDialogue,RandomForest,accuracy,0.6928571428571428,0.12268260026655475,0.693 ± 0.123
MDVR-KCL,SpontaneousDialogue,RandomForest,f1,0.5380952380952381,0.3262860478690647,0.538 ± 0.326
MDVR-KCL,SpontaneousDialogue,RandomForest,precision,0.5833333333333333,0.3726779962499649,0.583 ± 0.373
MDVR-KCL,SpontaneousDialogue,RandomForest,recall,0.6,0.4346134936801766,0.600 ± 0.435
MDVR-KCL,SpontaneousDialogue,RandomForest,roc_auc,0.8266666666666665,0.1326021618727739,0.827 ± 0.133
MDVR-KCL,SpontaneousDialogue,SVM_RBF,accuracy,0.6928571428571428,0.12268260026655478,0.693 ± 0.123
MDVR-KCL,SpontaneousDialogue,SVM_RBF,f1,0.5599999999999999,0.3183289703016886,0.560 ± 0.318
MDVR-KCL,SpontaneousDialogue,SVM_RBF,precision,0.5666666666666667,0.3651483716701107,0.567 ± 0.365
MDVR-KCL,SpontaneousDialogue,SVM_RBF,recall,0.6,0.36514837167011066,0.600 ± 0.365
MDVR-KCL,SpontaneousDialogue,SVM_RBF,roc_auc,0.42333333333333334,0.31216092715848415,0.423 ± 0.312
PD_SPEECH_FEATURES,N/A,LogisticRegression,accuracy,0.8254269780411294,0.01746201740065698,0.825 ± 0.017
PD_SPEECH_FEATURES,N/A,LogisticRegression,f1,0.8817611439892928,0.011485481410375968,0.882 ± 0.011
PD_SPEECH_FEATURES,N/A,LogisticRegression,precision,0.8916973446026711,0.02079604264960117,0.892 ± 0.021
PD_SPEECH_FEATURES,N/A,LogisticRegression,recall,0.8723135271807838,0.012257091927727799,0.872 ± 0.012
PD_SPEECH_FEATURES,N/A,LogisticRegression,roc_auc,0.8668939835975233,0.02869144470345652,0.867 ± 0.029
PD_SPEECH_FEATURES,N/A,RandomForest,accuracy,0.865074939003137,0.016661623075025545,0.865 ± 0.017
PD_SPEECH_FEATURES,N/A,RandomForest,f1,0.9155672852613105,0.010242978747154687,0.916 ± 0.010
PD_SPEECH_FEATURES,N/A,RandomForest,precision,0.8587599981634572,0.011519158688170213,0.859 ± 0.012
PD_SPEECH_FEATURES,N/A,RandomForest,recall,0.9804835651074588,0.01157520019961096,0.980 ± 0.012
PD_SPEECH_FEATURES,N/A,RandomForest,roc_auc,0.9485689525890969,0.012168145884495907,0.949 ± 0.012
PD_SPEECH_FEATURES,N/A,SVM_RBF,accuracy,0.8465841756709654,0.024302360285006958,0.847 ± 0.024
PD_SPEECH_FEATURES,N/A,SVM_RBF,f1,0.8986959517287578,0.01540338556537545,0.899 ± 0.015
PD_SPEECH_FEATURES,N/A,SVM_RBF,precision,0.8868657014817988,0.027759023298282108,0.887 ± 0.028
PD_SPEECH_FEATURES,N/A,SVM_RBF,recall,0.9113147914032871,0.014295360514893607,0.911 ± 0.014
PD_SPEECH_FEATURES,N/A,SVM_RBF,roc_auc,0.899978801667204,0.022936832598353458,0.900 ± 0.023
