dataset,task,model,metric,mean,std,mean_std
MDVR-KCL,ReadText,LogisticRegression,accuracy,0.65,0.1083267920578793,0.650 ± 0.108
MDVR-KCL,ReadText,LogisticRegression,f1,0.5642857142857143,0.16007367918068205,0.564 ± 0.160
MDVR-KCL,ReadText,LogisticRegression,precision,0.65,0.25276251480171835,0.650 ± 0.253
MDVR-KCL,ReadText,LogisticRegression,recall,0.55,0.2006932429798716,0.550 ± 0.201
MDVR-KCL,ReadText,LogisticRegression,roc_auc,0.6983333333333334,0.13234005020736875,0.698 ± 0.132
MDVR-KCL,ReadText,RandomForest,accuracy,0.8178571428571428,0.1396971943971996,0.818 ± 0.140
MDVR-KCL,ReadText,RandomForest,f1,0.7457142857142858,0.20662496836302333,0.746 ± 0.207
MDVR-KCL,ReadText,RandomForest,precision,0.8833333333333334,0.16244657241348273,0.883 ± 0.162
MDVR-KCL,ReadText,RandomForest,recall,0.7,0.2981423969999719,0.700 ± 0.298
MDVR-KCL,ReadText,RandomForest,roc_auc,0.805,0.18215530614164263,0.805 ± 0.182
MDVR-KCL,ReadText,SVM_RBF,accuracy,0.7607142857142857,0.2141368530560181,0.761 ± 0.214
MDVR-KCL,ReadText,SVM_RBF,f1,0.62,0.38987177379235854,0.620 ± 0.390
MDVR-KCL,ReadText,SVM_RBF,precision,0.7,0.4472135954999579,0.700 ± 0.447
MDVR-KCL,ReadText,SVM_RBF,recall,0.5666666666666667,0.3651483716701107,0.567 ± 0.365
MDVR-KCL,ReadText,SVM_RBF,roc_auc,0.8341666666666667,0.15310444873426188,0.834 ± 0.153
MDVR-KCL,SpontaneousDialogue,LogisticRegression,accuracy,0.6964285714285714,0.1794620646628731,0.696 ± 0.179
MDVR-KCL,SpontaneousDialogue,LogisticRegression,f1,0.5633333333333332,0.38086159632543093,0.563 ± 0.381
MDVR-KCL,SpontaneousDialogue,LogisticRegression,precision,0.52,0.3563705936241092,0.520 ± 0.356
MDVR-KCL,SpontaneousDialogue,LogisticRegression,recall,0.6666666666666666,0.47140452079103173,0.667 ± 0.471
MDVR-KCL,SpontaneousDialogue,LogisticRegression,roc_auc,0.7833333333333333,0.1394433377556793,0.783 ± 0.139
MDVR-KCL,SpontaneousDialogue,RandomForest,accuracy,0.7214285714285714,0.20266087084444442,0.721 ± 0.203
MDVR-KCL,SpontaneousDialogue,RandomForest,f1,0.5833333333333333,0.3726779962499649,0.583 ± 0.373
MDVR-KCL,SpontaneousDialogue,RandomForest,precision,0.6533333333333333,0.4093355048802334,0.653 ± 0.409
MDVR-KCL,SpontaneousDialogue,RandomForest,recall,0.6,0.4346134936801766,0.600 ± 0.435
MDVR-KCL,SpontaneousDialogue,RandomForest,roc_auc,0.8233333333333335,0.2086996778999804,0.823 ± 0.209
MDVR-KCL,SpontaneousDialogue,SVM_RBF,accuracy,0.6642857142857143,0.16675167899898216,0.664 ± 0.167
MDVR-KCL,SpontaneousDialogue,SVM_RBF,f1,0.5599999999999999,0.3183289703016886,0.560 ± 0.318
MDVR-KCL,SpontaneousDialogue,SVM_RBF,precision,0.5666666666666667,0.3651483716701107,0.567 ± 0.365
MDVR-KCL,SpontaneousDialogue,SVM_RBF,recall,0.6,0.36514837167011066,0.600 ± 0.365
MDVR-KCL,SpontaneousDialogue,SVM_RBF,roc_auc,0.4033333333333333,0.3468909530866052,0.403 ± 0.347
PD_SPEECH_FEATURES,N/A,LogisticRegression,accuracy,0.8254269780411294,0.01746201740065698,0.825 ± 0.017
PD_SPEECH_FEATURES,N/A,LogisticRegression,f1,0.8817611439892928,0.011485481410375968,0.882 ± 0.011
PD_SPEECH_FEATURES,N/A,LogisticRegression,precision,0.8916973446026711,0.02079604264960117,0.892 ± 0.021
PD_SPEECH_FEATURES,N/A,LogisticRegression,recall,0.8723135271807838,0.012257091927727799,0.872 ± 0.012
PD_SPEECH_FEATURES,N/A,LogisticRegression,roc_auc,0.8668939835975233,0.02869144470345652,0.867 ± 0.029
PD_SPEECH_FEATURES,N/A,RandomForest,accuracy,0.865074939003137,0.016661623075025545,0.865 ± 0.017
PD_SPEECH_FEATURES,N/A,RandomForest,f1,0.9155672852613105,0.010242978747154687,0.916 ± 0.010
PD_SPEECH_FEATURES,N/A,RandomForest,precision,0.8587599981634572,0.011519158688170213,0.859 ± 0.012
PD_SPEECH_FEATURES,N/A,RandomForest,recall,0.9804835651074588,0.01157520019961096,0.980 ± 0.012
PD_SPEECH_FEATURES,N/A,RandomForest,roc_auc,0.9485689525890969,0.012168145884495907,0.949 ± 0.012
PD_SPEECH_FEATURES,N/A,SVM_RBF,accuracy,0.8465841756709654,0.024302360285006958,0.847 ± 0.024
PD_SPEECH_FEATURES,N/A,SVM_RBF,f1,0.8986959517287578,0.01540338556537545,0.899 ± 0.015
PD_SPEECH_FEATURES,N/A,SVM_RBF,precision,0.8868657014817988,0.027759023298282108,0.887 ± 0.028
PD_SPEECH_FEATURES,N/A,SVM_RBF,recall,0.9113147914032871,0.014295360514893607,0.911 ± 0.014
PD_SPEECH_FEATURES,N/A,SVM_RBF,roc_auc,0.899978801667204,0.022936832598353458,0.900 ± 0.023
