model,metric,mean,std,mean_std
LogisticRegression,accuracy,0.6870470879184717,0.1406566234988475,0.687 ± 0.141
LogisticRegression,f1,0.6494759368853198,0.2474729916595792,0.649 ± 0.247
LogisticRegression,precision,0.6535816545500966,0.2712976620117232,0.654 ± 0.271
LogisticRegression,recall,0.6963267312824836,0.27962879006241464,0.696 ± 0.280
LogisticRegression,roc_auc,0.7811868834213966,0.15198998473324496,0.781 ± 0.152
RandomForest,accuracy,0.7359773606200933,0.14108200369311208,0.736 ± 0.141
RandomForest,f1,0.6283636982617066,0.3215364374210932,0.628 ± 0.322
RandomForest,precision,0.6640311104989302,0.3154655454453495,0.664 ± 0.315
RandomForest,recall,0.6601611883691529,0.39269881386212807,0.660 ± 0.393
RandomForest,roc_auc,0.8206340953074768,0.19080811678147283,0.821 ± 0.191
SVM_RBF,accuracy,0.7476709156998457,0.11517751321159049,0.748 ± 0.115
SVM_RBF,f1,0.659247856925459,0.2987004400108352,0.659 ± 0.299
SVM_RBF,precision,0.6900663449383774,0.31431791087442895,0.690 ± 0.314
SVM_RBF,recall,0.6704382638010956,0.3327233492429839,0.670 ± 0.333
SVM_RBF,roc_auc,0.6219373783335125,0.31578580364770026,0.622 ± 0.316
